property_id,sub_building_id,unit_type,lowest_observed_price,standard_lease_price,budget_lower_bound,comparison_status,budget_eligible,price_basis,comparison_policy,comparison_lease_months,availability_scope,comparison_note,sqft_min,source_url,trace_unit_id,trace_floorplan_id,trace_available_from,trace_lease_months,trace_rent_basis,trace_base_rent_min,trace_base_rent_max,trace_total_cost_min,trace_total_cost_max,trace_source_ref,trace_source_type,trace_retrieved_at,trace_checked_date,trace_in_unit_laundry,trace_private_kitchen_bath,trace_flooring_materials_json,trace_furnished_status,reviewed_feature_evidence_json
360-state,,studio,2314,2314,2314,comparable,true,calculated_total,source_standard_lease,11,current_unit,Current official base rent plus the previously reviewed $115 mandatory monthly fee; the limited special is not deducted,517,https://www.360statestreet.com/floorplans,APT 705,,Available Now,11,per_unit,2199,2199,2314,2314,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,yes,yes,[],unknown,"{""in_unit_laundry"":{""evidenceStatus"":""confirmed"",""recordScope"":""unit"",""sourceUrl"":""https://www.360statestreet.com/floorplans"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""unit"",""sourceUrl"":""https://www.360statestreet.com/floorplans"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""not_found"",""recordScope"":""unit"",""sourceUrl"":""https://www.360statestreet.com/floorplans"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""unit"",""sourceUrl"":""https://www.360statestreet.com/floorplans"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
360-state,,1br,2314,2314,2314,comparable,true,calculated_total,source_standard_lease,12,current_unit,Current official base rent plus the previously reviewed $115 mandatory monthly fee; the limited special is not deducted,582,https://www.360statestreet.com/floorplans,APT 1109,,Available Now,12,per_unit,2199,2199,2314,2314,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,yes,yes,[],unknown,"{""in_unit_laundry"":{""evidenceStatus"":""confirmed"",""recordScope"":""unit"",""sourceUrl"":""https://www.360statestreet.com/floorplans"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""unit"",""sourceUrl"":""https://www.360statestreet.com/floorplans"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""not_found"",""recordScope"":""unit"",""sourceUrl"":""https://www.360statestreet.com/floorplans"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""unit"",""sourceUrl"":""https://www.360statestreet.com/floorplans"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
360-state,,2br,3413,3413,3413,comparable,true,calculated_total,source_standard_lease,10,current_unit,Current official base rent plus the previously reviewed $115 mandatory monthly fee; the limited special is not deducted,1012,https://www.360statestreet.com/floorplans,APT 2418,,Available Now,10,per_unit,3298,3298,3413,3413,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,yes,yes,[],unknown,"{""in_unit_laundry"":{""evidenceStatus"":""confirmed"",""recordScope"":""unit"",""sourceUrl"":""https://www.360statestreet.com/floorplans"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""unit"",""sourceUrl"":""https://www.360statestreet.com/floorplans"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""not_found"",""recordScope"":""unit"",""sourceUrl"":""https://www.360statestreet.com/floorplans"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""unit"",""sourceUrl"":""https://www.360statestreet.com/floorplans"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
olive-wooster,,studio,,,,no_visible_inventory,false,unknown,none,,no_visible_inventory,No private Studio was visible in the current official listing feed; co-living is not substituted,,https://oliveandwooster.com/availability,,Private Studio,,,per_unit,,,,,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,,,[],unknown,"{""in_unit_laundry"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://oliveandwooster.com/availability"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""private_kitchen_bath"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://oliveandwooster.com/availability"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""flooring_materials"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://oliveandwooster.com/availability"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://oliveandwooster.com/availability"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""}}"
olive-wooster,,1br,2322,2322,2322,comparable,true,official_total,source_standard_lease,12,current_unit,Official Total Monthly Leasing Price lower bound; it may already include the current special and is not discounted again,631,https://oliveandwooster.com/availability,265E,1bd 631 sqft,2026-09-12,12,per_unit,2276,2779,2322,2825,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,yes,yes,"[""lvp""]",unknown,"{""in_unit_laundry"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://oliveandwooster.com/amenities"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://oliveandwooster.com/availability"",""sourceRef"":""docs/phase_c_evidence/olive-wooster_2026-07-12.md;data/olive_parsed_fixed.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://oliveandwooster.com/amenities"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://oliveandwooster.com/availability"",""sourceRef"":""docs/phase_c_evidence/olive-wooster_2026-07-12.md;data/olive_parsed_fixed.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
olive-wooster,,2br,2926,2926,2926,comparable,true,official_total,source_standard_lease,12,current_unit,"Official Total Monthly Leasing Price lower bound; the listing says pricing includes the current special, so it is not discounted again",967,https://oliveandwooster.com/availability,267E,2bd 967 sqft,2026-09-14,12,per_unit,2880,3744,2926,3790,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,yes,yes,"[""lvp""]",unknown,"{""in_unit_laundry"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://oliveandwooster.com/amenities"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://oliveandwooster.com/availability"",""sourceRef"":""docs/phase_c_evidence/olive-wooster_2026-07-12.md;data/olive_parsed_fixed.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""flooring_materials"":{""evidenceStatus"":""confirmed"",""recordScope"":""floorplan"",""sourceUrl"":""https://oliveandwooster.com/amenities"",""sourceRef"":null,""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://oliveandwooster.com/availability"",""sourceRef"":""docs/phase_c_evidence/olive-wooster_2026-07-12.md;data/olive_parsed_fixed.md"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
axis-201,,studio,1935.39,1935.39,1935.39,comparable,true,calculated_total,source_standard_lease,12,current_unit,Current official base rent plus $83.39 mandatory monthly fees,345,https://axis201.com/floor-plans,0249,,Available Now,12,per_unit,1852,1852,1935.39,1935.39,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,yes,yes,"[""lvp""]",unknown,"{""in_unit_laundry"":{""evidenceStatus"":""confirmed"",""recordScope"":""building"",""sourceUrl"":""https://axis201.com/floor-plans"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""building"",""sourceUrl"":""https://axis201.com/floor-plans"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""flooring_materials"":{""evidenceStatus"":""confirmed"",""recordScope"":""building"",""sourceUrl"":""https://axis201.com/floor-plans"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""unit"",""sourceUrl"":""https://axis201.com/floor-plans"",""sourceRef"":""docs/phase_c_evidence/axis-201_2026-07-12.md;data/axis_201_availability.md;data/Axis_eBrochure.pdf"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
axis-201,,1br,2345.39,2345.39,2345.39,comparable,true,calculated_total,source_standard_lease,12,current_unit,Current official base rent plus $83.39 mandatory monthly fees,681,https://axis201.com/floor-plans,0337,,Available Now,12,per_unit,2262,2262,2345.39,2345.39,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,yes,yes,"[""lvp""]",unknown,"{""in_unit_laundry"":{""evidenceStatus"":""confirmed"",""recordScope"":""building"",""sourceUrl"":""https://axis201.com/floor-plans"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""building"",""sourceUrl"":""https://axis201.com/floor-plans"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""flooring_materials"":{""evidenceStatus"":""confirmed"",""recordScope"":""building"",""sourceUrl"":""https://axis201.com/floor-plans"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""unit"",""sourceUrl"":""https://axis201.com/floor-plans"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""}}"
axis-201,,2br,3274.39,3274.39,3274.39,comparable,true,calculated_total,source_standard_lease,12,current_unit,Current official base rent plus $83.39 mandatory monthly fees,967,https://axis201.com/floor-plans,0321,,Available Now,12,per_unit,3191,3191,3274.39,3274.39,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,yes,yes,"[""lvp""]",unknown,"{""in_unit_laundry"":{""evidenceStatus"":""confirmed"",""recordScope"":""building"",""sourceUrl"":""https://axis201.com/floor-plans"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""building"",""sourceUrl"":""https://axis201.com/floor-plans"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""flooring_materials"":{""evidenceStatus"":""confirmed"",""recordScope"":""building"",""sourceUrl"":""https://axis201.com/floor-plans"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""unit"",""sourceUrl"":""https://axis201.com/floor-plans"",""sourceRef"":""docs/phase_c_evidence/axis-201_2026-07-12.md;data/axis_201_availability.md;data/Axis_eBrochure.pdf"",""checkedDate"":""2026-07-27"",""reviewedAt"":""2026-07-27""}}"
the-whit,,studio,2345,2345,2345,comparable,true,calculated_total,source_standard_lease,11,current_floorplan,Current official 11-month Studio loft base rent plus the reviewed $15 mandatory trash fee,675,https://www.scullycompany.com/apartments/new-england/new-haven-county/new-haven/the-whit/,,Studio w/ Loft 675 sqft,Current 2 units,11,per_unit,2330,2330,2345,2345,reviews/price_refresh_evidence_2026-07-29.md,official_page_capture,2026-07-29,2026-07-29,yes,yes,"[""hard_surface""]",unknown,"{""in_unit_laundry"":{""evidenceStatus"":""confirmed"",""recordScope"":""building"",""sourceUrl"":""https://www.scullycompany.com/apartments/new-england/new-haven-county/new-haven/the-whit/"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""private_kitchen_bath"":{""evidenceStatus"":""confirmed"",""recordScope"":""building"",""sourceUrl"":""https://www.scullycompany.com/apartments/new-england/new-haven-county/new-haven/the-whit/"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""flooring_materials"":{""evidenceStatus"":""confirmed"",""recordScope"":""building"",""sourceUrl"":""https://www.scullycompany.com/apartments/new-england/new-haven-county/new-haven/the-whit/"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""},""furnished_status"":{""evidenceStatus"":""not_found"",""recordScope"":""floorplan"",""sourceUrl"":""https://www.scullycompany.com/apartments/new-england/new-haven-county/new-haven/the-whit/"",""sourceRef"":""reviews/price_refresh_evidence_2026-07-29.md"",""checkedDate"":""2026-07-29"",""reviewedAt"":""2026-07-29""}}"
