priority,candidate_id,name,entity_type,parent_complex_id,segment,official_identity_status,runtime_status,official_signals,official_url,discovery_sources,why_candidate,next_gate,checked_date
P0,city-crossing,City Crossing,complex,,med_school_complex,confirmed,active_recommendation_parent,"Five RMS buildings and addresses confirmed: Pierpont, Mason, Aura, Maddox, and Parkside",https://rms-companies.com/newhaven-citycrossing/,RMS official community and portfolio pages,"Treat the portfolio like NHV Towers without pretending the five buildings share one price or configuration","Keep Pierpont as the disclosed temporary budget basis; build child-level price, fee, utility, and location matrices",2026-07-27
P0,pierpont-city-crossing,Pierpont at City Crossing,sub_building,city-crossing,med_school,confirmed,active_price_basis_child,"Studio/1BR/2BR; LVP living areas; bedroom carpet; porcelain-tile baths; in-unit washer/dryer",https://rms-companies.com/property/pierpont-at-city-crossing/,RMS official property page and brochure,"Current reviewed price snapshot makes Pierpont the first usable City Crossing child","Refresh current prices and fees; keep every City Crossing result explicit about its Pierpont-only budget basis",2026-07-27
P0,the-mason-city-crossing,The Mason at City Crossing,sub_building,city-crossing,med_school,confirmed,research_candidate,"Studio/1BR/2BR; LVP living areas; bedroom carpet; porcelain-tile baths; in-unit washer/dryer",https://rms-companies.com/property/the-mason-at-city-crossing/,RMS official property page and brochure,"Strong Med School child with its own layouts and amenities","Capture standard-lease unit prices, mandatory fees, utilities, parking, and concession eligibility",2026-07-27
P1,aura-city-crossing,Aura at City Crossing,sub_building,city-crossing,med_school,confirmed,research_candidate,"1BR/2BR/3BR; wood-plank vinyl; porcelain-tile baths; full-size washer/dryer",https://rms-companies.com/property/aura-at-city-crossing/,RMS official property page and brochure,"Broadens City Crossing unit mix without borrowing Pierpont pricing","Capture standard-lease unit prices, mandatory fees, utilities, parking, and concession eligibility",2026-07-27
P1,maddox-city-crossing,The Maddox at City Crossing,sub_building,city-crossing,med_school,confirmed,research_candidate,"Wood-plank vinyl; porcelain-tile baths; full-size washer/dryer; distinct amenities",https://rms-companies.com/property/the-maddox-at-city-crossing/,RMS official property page and brochure,"The complex needs a separate building profile rather than one Pierpont experience","Capture current floorplans, standard-lease prices, mandatory fees, utilities, and parking",2026-07-27
P1,parkside-city-crossing,Parkside at City Crossing,sub_building,city-crossing,med_school,confirmed,research_candidate,"1BR/2BR/3BR; full-size washer/dryer; standard apartments plus separately marketed furnished short-term units",https://rms-companies.com/property/parkside-at-city-crossing/,RMS official property page,"Completes the official five-building City Crossing roster","Capture standard-lease flooring, furnishing status, unit prices, mandatory fees, utilities, and parking",2026-07-27
P0,haven-on-college,The Haven on College,standalone,,central_med,confirmed,research_candidate,"Studio/1BR/2BR; in-unit laundry; 12-month lease; published utility split; international-student path",https://thehavenoncollege.com/,Official property site and Yale Off-Campus Housing,"Strong Central Campus and Med School candidate with unusually useful public policy detail","Capture current unit-level rent and mandatory fees; verify standard-lease furnishing and application charges",2026-07-27
P0,the-eli,The Eli,standalone,,central_downtown,confirmed,research_candidate,"Studio/1BR/2BR; hardwood floors; kitchens and bathrooms; washer/dryer in every unit",https://www.theeli227.com/,Official property site and property-managed availability,"Fills the Central Campus and downtown high-rise gap with clear unit-feature evidence","Capture current unit rent, lease term, mandatory fees, concessions, parking, and utility split",2026-07-27
P0,the-winston,The Winston,standalone,,science_park,confirmed,research_candidate,"Studio through 3BR; LVT wood-look flooring; in-unit washer/dryer",https://www.livethewinston.com/residences,Official property site and Yale Off-Campus Housing,"Adds a modern Science Park alternative to Axis 201","Capture 10-12 month totals, mandatory fees, current concessions, and exact candidate rows",2026-07-27
P0,cadence-on-canal,Cadence on Canal,standalone,,science_park,confirmed,research_candidate,"Studio/1BR/2BR; plank flooring; full-size in-unit washer/dryer",https://www.cadenceoncanal.com/,Official property site and Yale Off-Campus Housing,"Reduces Science Park coverage from depending on one building","Capture current official availability, mandatory fees, lease terms, utilities, and parking",2026-07-27
P1,curio-269,Curio 269,standalone,,downtown,confirmed,research_candidate,"1BR/2BR; white-oak wood-style plank; washer/dryer in each residence; complete kitchens and baths",https://www.curio269.com/,Official property site and Yale Off-Campus Housing,"Requested downtown candidate with useful official feature detail","Capture current units, 10-12 month price, mandatory fees, concessions, parking, and opening status",2026-07-27
P1,winchester-lofts,Winchester Lofts,standalone,,science_park,confirmed,research_candidate,"Studio/1BR/2BR; in-suite washer/dryer; porcelain bathroom flooring",https://www.winchesterlofts.com/,Official property site and Yale Off-Campus Housing,"Established Science Park option with a different loft-style product","Capture current total monthly cost, lease term, concessions, parking, and utilities",2026-07-27
P1,novella,Novella,standalone,,central_west,confirmed,research_candidate,"Studio/Jr/1BR/2BR; hardwood-look floors; in-home washer/dryer; garage",https://www.the-novella.com/,Official property site and Yale Off-Campus Housing,"Strong Central Campus candidate west of downtown","Capture current units, mandatory fees, garage price, utilities, and concession eligibility",2026-07-27
P1,centerpointe,Centerpointe New Haven,standalone,,downtown,confirmed,research_candidate,"Studio/1BR/2BR; downtown conventional floorplans; hardwood flooring advertised",https://www.livecenterpointe.com/floorplans,Official property site and Yale Off-Campus Housing,"Previously requested mainstream downtown building absent from the recommendation pool","Capture current prices, in-unit versus shared laundry, mandatory fees, parking, and utilities",2026-07-27
P2,bulldog-apartments,Bulldog Apartments,standalone,,central_downtown,confirmed,research_candidate,"Studio through 3BR; hardwood floors; shared onsite laundry",https://www.bulldogapartments.com/,Official property site and Yale Off-Campus Housing,"Potential value-oriented Central Campus baseline rather than another luxury tower","Capture live units, full-unit price basis, fees, utilities, and exact layouts",2026-07-27
P2,metro-on-crown,Metro on Crown,complex,,downtown_cluster,partial,research_candidate,"Official manager presents multiple Crown Street addresses with building-specific layouts and features",https://metrostarapartments.com/new-haven-ct-apartments/,Official manager site and Yale Off-Campus Housing,"Popular name, but it is a cluster rather than one uniform building","Lock the child-building roster and addresses before collecting separate prices, fees, and unit features",2026-07-27
SEPARATE,ninth-square,Ninth Square Apartments,separate_track,,affordable_housing,confirmed,separate_track,"Project-Based Section 8 path; income limits; waitlist; separate eligibility framework",https://www.ninthsquareapartments.com/affordablehousingoptions,Official property site and Yale Off-Campus Housing,"Useful to eligible students but structurally different from market-rate apartment matching","Build a separate affordable-housing flow; do not mix waitlist units into mainstream price ranking",2026-07-27
